// SVW
// Criação:     01 Jan 2013
// Atualização: 25 Ago 2021
// Descrição:   Nível 1 (Pivôs)
//
// Informações dos pivôs:
// left right up down posX posY

// linha 1
0 1 0 1 163 88
1 1 0 0 208 88
1 0 0 1 254 88
0 1 0 1 705 88
1 1 0 0 750 88
1 0 0 1 795 88

// linha 1/2
0 0 1 1 163 133
0 0 1 1 254 133
0 0 1 1 705 133
0 0 1 1 795 133

//linha 2
0 1 0 1 76 179
1 1 0 0 120 179
1 0 1 0 163 179
0 1 1 1 254 179
1 1 0 0 299 179
1 1 1 1 344 179
1 1 0 1 390 179
1 1 0 1 435 179
1 1 0 1 478 179
1 1 0 1 478 179
1 1 0 1 523 179
1 1 0 1 568 179
1 1 1 1 614 179
1 1 0 0 660 179
1 0 1 1 705 179
0 1 1 0 795 179
1 1 0 0 840 179
1 0 0 1 883 179

//linha 2/3
0 0 1 1 76 224
0 0 1 1 254 224
1 1 1 1 344 224
1 1 1 1 390 224
1 1 1 1 435 224
1 1 1 1 478 224
1 1 1 1 478 224
1 1 1 1 523 224
1 1 1 1 568 224
1 0 1 1 615 224
0 0 1 1 705 224
0 0 1 1 883 224

// linha 3
0 1 1 1 76 269
1 1 0 0 120 269
1 1 0 1 163 269
1 1 0 0 210 269
1 0 1 0 254 269
0 1 1 1 344 269
1 1 1 1 390 269
1 1 1 1 435 269
1 1 1 1 478 269
1 1 1 1 478 269
1 1 1 1 523 269
1 1 1 1 568 269
1 0 1 1 614 269
0 1 1 0 705 269
1 1 0 0 750 269
1 1 0 1 795 269
1 1 0 0 840 269
1 0 1 1 883 269

// linha 3/4
0 0 1 1 76 314
0 0 1 1 163 314
0 1 1 1 344 314
1 1 1 1 390 314
1 1 1 1 435 314
1 1 1 1 478 314
1 1 1 1 478 314
1 1 1 1 523 314
1 1 1 1 568 314
1 0 1 1 614 314
0 0 1 1 795 314
0 0 1 1 883 314

// linha 4
1 0 1 1 76 360
0 0 1 1 166 360
0 1 0 1 254 360
1 1 0 0 299 360
1 1 1 1 344 360
1 1 1 1 389 360
1 1 1 1 434 360
1 1 1 1 478 360
1 1 1 1 523 360
1 1 1 1 568 360
1 1 1 1 614 360
1 1 0 0 659 360
1 0 0 1 705 360
0 0 1 1 795 360
0 1 1 1 883 360

// linha 4/5
0 0 1 1 76 405
0 0 1 1 166 405
0 0 1 1 254 405
0 1 1 1 344 405
1 1 1 1 389 405
1 1 1 1 434 405
1 1 1 1 478 405
1 1 1 1 523 405
1 1 1 1 568 405
1 0 1 1 614 405
0 0 1 1 705 405
0 0 1 1 795 405
0 0 1 1 883 405
    
// linha 5 
0 1 1 1 76 450
1 1 0 0 121 450
1 1 1 0 163 450
1 1 0 0 207 450
1 0 1 1 254 450
0 1 1 1 344 450
1 1 1 1 389 450
1 1 1 1 434 450
1 1 1 1 478 450
1 1 1 1 523 450
1 1 1 1 568 450
1 0 1 1 614 450
0 1 1 1 705 450
1 1 0 0 750 450
1 1 1 0 795 450
1 1 0 0 840 450
1 0 1 1 883 450

// linha 5 / 6
0 0 1 1 76 495
0 0 1 1 254 495
0 1 1 1 344 495
1 1 1 1 389 495
1 1 1 1 434 495
1 1 1 1 478 495
1 1 1 1 523 495
1 1 1 1 568 495
1 0 1 1 614 495
0 0 1 1 705 495
0 0 1 1 883 495

// linha 6
0 1 1 0 76 540
1 1 0 0 121 540
1 0 0 1 163 540
0 1 1 1 254 540
1 1 0 0 299 540
1 1 1 1 344 540
1 1 1 1 389 540
1 1 1 1 434 540
1 1 1 1 478 540
1 1 1 1 523 540
1 1 1 1 568 540
1 1 1 1 614 540
1 1 0 0 659 540
1 0 1 1 705 540
0 1 0 1 795 540
1 1 0 0 840 540
1 0 1 0 883 540

// linha 6 / 7
0 0 1 1 163 585
0 0 1 1 254 585
0 0 1 1 344 585
0 0 1 1 614 585
0 0 1 1 704 585
0 0 1 1 795 585

// linha 7
0 1 1 0 163 630
1 1 0 0 208 630
1 0 1 0 254 630
0 1 1 0 705 630
1 1 0 0 750 630
1 0 1 0 795 630
