//  l r u d x   y  x end	c
	
	// 2 coluna
	0 0	1 1	72	208 0 239

	0 0	1 1	72	297 0 325

	0 0	1 1	72	387 0 412

	0 0	1 1	72	480 0 505

	// 3 coluna
	0 0	1 1	164	123 0 144

	0 0	1 1	164	300 0 410

	0 0	1 1	164	565 0 592

	// 5 coluna
	0 0	1 1	252	121 0 144

	0 0	1 1	252	208 0 237

	0 0	1 1	252	392 0 414

	0 0	1 1	252	481 0 509

	0 0	1 1	252	580 0 595

	// 7 coluna
	0 0	1 1	345	9 0 145

	0 0	1 1	345	208 0 229

	0 0	1 1	345	304 0 330

	0 0	1 1	345	387 0 414

	0 0	1 1	345	481 0 509

	0 0	1 1	345	580 0 711


	// linhas
	1 1	0 0	200	88 1 220

	1 1	0 0	200	270 1 220
		
	1 1	0 0	200	449 1 220

	1 1	0 0	200	631 1 220

	1 1	0 0	107	180 1 128

	1 1	0 0	107	271 1 128

	1 1	0 0	107	450 1 128

	1 1	0 0	107	540 1 128

	1 1	0 0	285	180 1 312

	1 1	0 0	285	360 1 312

	1 1	0 0	285	540 1 312

	// novos
	1 1	0 1	380	180 1 450



	1 1	1 0	380	540 1 450




	


